#Vertex,x,y
1,0.0,0.0
2,2.0,0.0
3,2.0,2.0
4,0.0,2.0
5,1.5,0.5
6,0.75000000000367,1.2499999999963
#Edge,extreme1,extreme2
1,1,2
2,2,5
3,5,1
4,2,3
5,3,5
6,3,6
7,6,5
8,3,4
9,4,6
10,6,1
11,4,1
#Edge,left,right
1,1,0
2,1,2
3,1,5
4,2,0
5,2,3
6,3,4
7,3,5
8,4,0
9,4,6
10,5,6
11,6,0
#Edge,BC_type,BC_value
1,1,11
2,-9999,-9999
3,-9999,-9999
4,1,10
5,-9999,-9999
6,-9999,-9999
7,-9999,-9999
8,2,21
9,-9999,-9999
10,-9999,-9999
11,1,10
#Edge,x_c,y_c
1,1.0,1.0
2,1.75,1.75
3,0.75,0.75
4,2.0,2.0
5,1.75,1.75
6,1.375000000001835,1.375000000001835
7,1.125000000001835,1.125000000001835
8,1.0,1.0
9,0.375000000001835,0.375000000001835
10,0.375000000001835,0.375000000001835
11,0.0,0.0
#Edge,length
1,2.0
2,0.7071067811865476
3,1.5811388300841898
4,2.0
5,1.5811388300841898
6,1.4577379737100817
7,1.06066017177461
8,2.0
9,1.0606601717850326
10,1.4577379737100407
11,2.0
#Edge,normal_x,normal_y
1,-0.0,-1.0
2,0.7071067811865475,0.7071067811865475
3,-0.31622776601683794,0.9486832980505138
4,1.0,0.0
5,-0.9486832980505138,0.31622776601683794
6,-0.5144957554305035,0.857492925710758
7,-0.7071067811865334,-0.7071067811865617
8,-0.0,1.0
9,-0.7071067811865617,-0.7071067811865334
10,-0.8574929257107616,0.5144957554304974
11,-1.0,0.0
#Edge,distance
1,0.16666666666666666
2,0.9428090415820631
3,0.527046276693173
4,0.16666666666666674
5,0.5270462766931792
6,0.6859943405706308
7,0.9428090415820632
8,0.25000000000123346
9,0.9428090415820634
10,0.6859943405706295
11,0.2500000000012233
#Element,edge_1,edge_2,edge_3
1,1,2,3
2,4,5,2
3,5,6,7
4,6,8,9
5,3,7,10
6,10,9,11
#Element,x_c,y_c
1,1.1666666666666667,1.1666666666666667
2,1.8333333333333333,1.8333333333333333
3,1.41666666666789,1.41666666666789
4,0.91666666666789,0.91666666666789
5,0.7500000000012234,0.7500000000012234
6,0.2500000000012233,0.2500000000012233
#Element,area
1,0.5
2,0.5
3,0.7499999999963225
4,0.7500000000036999
5,0.7499999999963076
6,0.75000000000367
