#Vertex,x,y
1,0.0,0.0
2,0.5,0.0
3,1.0,0.0
4,0.0,0.5
5,0.5,0.5
6,1.0,0.5
7,0.0,1.0
8,0.5,1.0
9,1.0,1.0
#Edge,extreme1,extreme2
1,1,2
2,2,5
3,5,1
4,5,4
5,4,1
6,2,3
7,3,6
8,6,2
9,6,5
10,5,8
11,8,4
12,8,7
13,7,4
14,6,9
15,9,5
16,9,8
#Edge,left,right
1,1,0
2,1,4
3,1,2
4,2,5
5,2,0
6,3,0
7,3,0
8,3,4
9,4,7
10,5,8
11,5,6
12,6,0
13,6,0
14,7,0
15,7,8
16,8,0
#Edge,BC_type,BC_value
1,0,1
2,-9999,-9999
3,-9999,-9999
4,-9999,-9999
5,0,4
6,0,1
7,0,2
8,-9999,-9999
9,-9999,-9999
10,-9999,-9999
11,-9999,-9999
12,0,3
13,0,4
14,0,2
15,-9999,-9999
16,0,3
#Edge,x_c,y_c
1,0.25,0.25
2,0.5,0.5
3,0.25,0.25
4,0.25,0.25
5,0.0,0.0
6,0.75,0.75
7,1.0,1.0
8,0.75,0.75
9,0.75,0.75
10,0.5,0.5
11,0.25,0.25
12,0.25,0.25
13,0.0,0.0
14,1.0,1.0
15,0.75,0.75
16,0.75,0.75
#Edge,length
1,0.5
2,0.5
3,0.7071067811865476
4,0.5
5,0.5
6,0.5
7,0.5
8,0.7071067811865476
9,0.5
10,0.5
11,0.7071067811865476
12,0.5
13,0.5
14,0.5
15,0.7071067811865476
16,0.5
#Edge,normal_x,normal_y
1,-0.0,-1.0
2,1.0,0.0
3,-0.7071067811865475,0.7071067811865475
4,-0.0,1.0
5,-1.0,0.0
6,-0.0,-1.0
7,1.0,0.0
8,-0.7071067811865475,0.7071067811865475
9,-0.0,1.0
10,1.0,0.0
11,-0.7071067811865475,0.7071067811865475
12,-0.0,1.0
13,-1.0,0.0
14,1.0,0.0
15,-0.7071067811865475,0.7071067811865475
16,-0.0,1.0
#Edge,distance
1,0.16666666666666666
2,0.3333333333333333
3,0.2357022603955158
4,0.3333333333333333
5,0.16666666666666666
6,0.16666666666666666
7,0.16666666666666663
8,0.23570226039551587
9,0.3333333333333333
10,0.3333333333333333
11,0.23570226039551587
12,0.16666666666666657
13,0.16666666666666666
14,0.16666666666666674
15,0.23570226039551592
16,0.1666666666666663
#Element,edge_1,edge_2,edge_3
1,1,2,3
2,3,4,5
3,6,7,8
4,8,9,2
5,4,10,11
6,11,12,13
7,9,14,15
8,15,16,10
#Element,x_c,y_c
1,0.3333333333333333,0.3333333333333333
2,0.16666666666666666,0.16666666666666666
3,0.8333333333333334,0.8333333333333334
4,0.6666666666666666,0.6666666666666666
5,0.3333333333333333,0.3333333333333333
6,0.16666666666666666,0.16666666666666666
7,0.8333333333333334,0.8333333333333334
8,0.6666666666666666,0.6666666666666666
#Element,area
1,0.125
2,0.125
3,0.125
4,0.125
5,0.125
6,0.125
7,0.125
8,0.125
